760;;;0;0;;
1520;760;;0;0;;
2280;760;;0;0;;
1280;-1000;1;1;0;;
280;-1000;;0;0;;
1040;760;2;0;2;;
1800;760;;0;0;;
800;-1000;;0;0;;
1560;760;2;0;2;;
560;-1000;;0;0;;
1320;760;2;0;2;;
2080;760;;0;0;;
2840;760;;0;0;;
3600;760;;0;0;;
4360;760;;0;0;;
3360;-1000;;0;0;;
4120;760;2;0;2;;
4880;760;;0;0;;
5640;760;;0;0;;
4640;-1000;;0;0;;
3640;-1000;1;1;0;;
4400;760;2;0;2;;
5160;760;;0;0;;
5920;760;;0;0;;
6680;760;;0;0;;
5680;-1000;;0;0;;
6440;760;2;0;2;;
7200;760;;0;0;;
7960;760;;0;0;;
8720;760;;0;0;;
9480;760;;0;0;;
8480;-1000;;0;0;;
9240;760;2;0;2;;
8240;-1000;;0;0;;
7240;-1000;1;1;0;;
8000;760;2;0;2;;
8760;760;;0;0;;
9520;760;;0;0;;
10280;760;;0;0;;
9280;-1000;;0;0;;
8280;-1000;1;1;0;;
7280;-1000;1;1;0;;
8040;760;2;0;2;;
8800;760;;0;0;;
9560;760;;0;0;;
10320;760;;0;0;;
9320;-1000;;0;0;;
10080;760;2;0;2;;
9080;-1000;;0;0;;
9840;760;2;0;2;;
10600;760;;0;0;;
9600;-1000;;0;0;;
8600;-1000;1;1;0;;
9360;760;2;0;2;;
10120;760;;0;0;;
9120;-1000;;0;0;;
8120;-1000;1;1;0;;
8880;760;2;0;2;;
7880;-1000;;0;0;;
8640;760;2;0;2;;
9400;760;;0;0;;
8400;-1000;;0;0;;
7400;-1000;1;1;0;;
6400;-1000;1;1;0;;
5400;-1000;1;1;0;;
4400;-1000;1;1;0;;
5160;760;2;0;2;;
5920;760;;0;0;;
6680;760;;0;0;;
7440;760;;0;0;;
8200;760;;0;0;;
7200;-1000;;0;0;;
6200;-1000;1;1;0;;
6960;760;2;0;2;;
7720;760;;0;0;;
6720;-1000;;0;0;;
5720;-1000;1;1;0;;
6480;760;2;0;2;;
7240;760;;0;0;;
8000;760;;0;0;;
8760;760;;0;0;;
9520;760;;0;0;;
8520;-1000;;0;0;;
7520;-1000;1;1;0;;
6520;-1000;1;1;0;;
7280;760;2;0;2;;
6280;-1000;;0;0;;
5280;-1000;1;1;0;;
6040;760;2;0;2;;
5040;-1000;;0;0;;
5800;760;2;0;2;;
4800;-1000;;0;0;;
5560;760;2;0;2;;
6320;760;;0;0;;
5320;-1000;;0;0;;
4320;-1000;1;1;0;;
3320;-1000;1;1;0;;
4080;760;2;0;2;;
3080;-1000;;0;0;;
3840;760;2;0;2;;
2840;-1000;;0;0;;
3600;760;;0;0;;
4360;760;;0;0;;
5120;760;;0;0;;
5880;760;;0;0;;
6640;760;;0;0;;
5640;-1000;;0;0;;
4640;-1000;1;1;0;;
5400;760;2;0;2;;
6160;760;;0;0;;
6920;760;;0;0;;
7680;760;;0;0;;
8440;760;;0;0;;
9200;760;;0;0;;
9960;760;;0;0;;
10720;760;;0;0;;
9720;-1000;;0;0;;
10480;760;2;0;2;;
11240;760;;0;0;;
11240;0;;0;0;;
10240;-1000;;0;0;;
11000;760;2;0;2;;
11760;760;;0;0;;
10760;-1000;;0;0;;
11520;760;2;0;2;;
12280;760;;0;0;;
13040;760;;0;0;;
12040;-1000;;0;0;;
11040;-1000;1;1;0;;
11800;760;2;0;2;;
10800;-1000;;0;0;;
11560;760;2;0;2;;
10560;-1000;;0;0;;
