367	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=5 	momentum_diff=3 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
360	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=3 	momentum_diff=3 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
353	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=1 	momentum_diff=3 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
346	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=9 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
339	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=7 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
332	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=5 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
325	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=3 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
318	8.47	382	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=1 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
269	8.37	377	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=7 	momentum_diff=0 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
304	8.34	377	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=7 	momentum_diff=1 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
485	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=9 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
478	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=7 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
471	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=5 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
464	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=3 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
457	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=1 	momentum_diff=6 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
450	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=9 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
443	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=7 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
436	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=5 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
429	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=3 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
422	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=1 	momentum_diff=5 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
415	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=9 	momentum_diff=4 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
408	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=7 	momentum_diff=4 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
401	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=5 	momentum_diff=4 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
394	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=3 	momentum_diff=4 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
