10510	24726.17	34	1.94	727.24	16166.57	49.34%	0.00000000	MaximumRisk=0.1 	h_williamsS=30 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10529	24617.71	26	3.12	946.84	9627.41	27.51%	0.00000000	MaximumRisk=0.09 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7590	24531.46	26	2.60	943.52	11002.75	30.94%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13449	24425.53	32	2.36	763.30	10315.08	31.25%	0.00000000	MaximumRisk=0.09 	h_williamsS=30 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4498	24395.63	38	3.13	641.99	7084.60	27.85%	0.00000000	MaximumRisk=0.08 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13469	24026.66	25	3.19	961.07	9627.41	28.08%	0.00000000	MaximumRisk=0.09 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10519	23949.38	30	2.41	798.31	12074.15	42.75%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
1569	23947.25	32	3.39	748.35	5429.86	22.14%	0.00000000	MaximumRisk=0.09 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
11060	23737.62	17	7.88	1396.33	5816.70	28.60%	0.00000000	MaximumRisk=0.1 	h_williamsS=150 	h_williamsL=90 	williams_thresholdS=-2 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10378	23547.20	36	2.78	654.09	7468.60	27.34%	0.00000000	MaximumRisk=0.08 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10389	23478.85	30	3.18	782.63	8592.06	25.55%	0.00000000	MaximumRisk=0.09 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
