21	2.71	616	1.04	0.00	10.95	0.11%	0.00000000	h2_value=5 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
22	9.08	416	1.19	0.02	6.89	0.07%	0.00000000	h2_value=10 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
23	1.71	310	1.04	0.01	8.30	0.08%	0.00000000	h2_value=15 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
24	2.13	246	1.07	0.01	5.87	0.06%	0.00000000	h2_value=20 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
25	2.72	212	1.10	0.01	5.52	0.06%	0.00000000	h2_value=25 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
26	1.12	184	1.05	0.01	4.84	0.05%	0.00000000	h2_value=30 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
27	0.42	159	1.02	0.00	5.23	0.05%	0.00000000	h2_value=35 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
28	0.59	148	1.03	0.00	4.99	0.05%	0.00000000	h2_value=40 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
29	0.26	141	1.01	0.00	4.78	0.05%	0.00000000	h2_value=45 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
30	-0.59	134	0.97	-0.00	5.66	0.06%	0.00000000	h2_value=50 	trade_dur=9 	h_williamsL=5 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
31	2.06	538	1.04	0.00	6.38	0.06%	0.00000000	h2_value=5 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
32	3.29	487	1.08	0.01	6.52	0.07%	0.00000000	h2_value=10 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
33	1.10	456	1.03	0.00	7.27	0.07%	0.00000000	h2_value=15 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
