20	-8.18	122	0.79	-0.07	17.00	0.17%	0.00000000	h1_value=55 	h_williamsS=15 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
21	-8.18	254	0.88	-0.03	15.75	0.16%	0.00000000	h1_value=10 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
22	-7.33	243	0.89	-0.03	15.79	0.16%	0.00000000	h1_value=15 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
23	-9.21	234	0.86	-0.04	17.75	0.18%	0.00000000	h1_value=20 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
24	-11.07	199	0.81	-0.06	17.12	0.17%	0.00000000	h1_value=25 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
25	-10.57	180	0.80	-0.06	16.63	0.17%	0.00000000	h1_value=30 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
26	-9.83	167	0.80	-0.06	15.58	0.16%	0.00000000	h1_value=35 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
27	-8.24	155	0.82	-0.05	14.73	0.15%	0.00000000	h1_value=40 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
28	-6.81	147	0.84	-0.05	15.59	0.16%	0.00000000	h1_value=45 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
29	-10.06	137	0.77	-0.07	16.78	0.17%	0.00000000	h1_value=50 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
30	-9.54	128	0.77	-0.07	16.50	0.16%	0.00000000	h1_value=55 	h_williamsS=20 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
31	-6.86	228	0.88	-0.03	12.66	0.13%	0.00000000	h1_value=10 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
