,0
753,1150
754,1215
755,1218
756,1279
757,1290
758,1316
759,1306
760,1345
761,1320
762,1346
763,1354
764,1366
765,1380
766,1380
767,1374
768,1429
769,1450
770,1446
771,1468
772,1479
773,1485
774,1509
775,1536
776,1550
777,1550
778,1597
779,1564
780,1558
781,1559
782,1598
783,1641
784,1664
785,1674
786,1682
787,1634
788,1589
789,1568
790,1521
791,1531
792,1531
793,1549
794,1555
795,1571
796,1587
797,1591
798,1593
799,1523
800,1523
801,1526
802,1463
803,1453
804,1400
805,1344
806,1357
807,1380
808,1367
809,1381
810,1438
811,1411
812,1422
813,1416
814,1404
815,1270
816,1343
817,1413
818,1504
819,1477
820,1481
821,1505
822,1518
823,1520
824,1561
825,1523
826,1509
827,1496
828,1409
829,1413
830,1429
831,1421
832,1509
833,1546
834,1533
835,1544
836,1550
837,1569
838,1560
839,1557
840,1532
841,1550
842,1500
843,1509
844,1513
845,1511
846,1513
847,1516
848,1511
849,1512
850,1521
851,1485
852,1491
853,1501
854,1501
855,1447
856,1451
857,1451
858,1427
859,1449
860,1455
861,1461
862,1411
863,1396
864,1398
865,1448
866,1441
867,1410
868,1425
869,1408
870,1419
871,1449
872,1477
873,1446
874,1471
875,1477
876,1476
877,1433
878,1409
879,1387
880,1403
881,1404
882,1410
883,1430
884,1446
885,1470
886,1487
887,1505
888,1511
889,1519
890,1488
891,1459
892,1470
893,1447
894,1470
895,1474
896,1450
897,1425
898,1452
899,1477
900,1481
901,1501
902,1476
903,1509
904,1512
905,1475
906,1479
907,1484
908,1487
909,1489
910,1498
911,1544
912,1524
913,1517
914,1523
915,1526
916,1476
917,1482
918,1484
919,1521
920,1537
921,1525
922,1528
923,1545
924,1504
925,1465
926,1458
927,1493
928,1487
929,1480
930,1485
931,1474
932,1521
933,1568
934,1572
935,1591
936,1599
937,1615
938,1572
939,1569
940,1569
941,1570
942,1619
943,1628
944,1661
945,1661
946,1744
947,1654
948,1638
949,1626
950,1626
951,1557
952,1562
953,1564
954,1571
955,1583
956,1631
957,1646
958,1674
959,1678
960,1677
961,1681
962,1690
963,1698
964,1651
965,1656
966,1625
967,1631
968,1634
969,1635
970,1657
971,1685
972,1657
973,1664
974,1670
975,1677
976,1676
977,1690
978,1708
979,1658
980,1654
981,1668
982,1679
983,1625
984,1630
985,1628
986,1642
987,1663
988,1659
989,1643
990,1684
991,1663
992,1671
993,1671
994,1668
995,1670
996,1635
997,1642
998,1677
999,1676
1000,1676
1001,1707
1002,1743
1003,1740
1004,1749
1005,1753
1006,1738
1007,1751
1008,1744
1009,1774
1010,1779
1011,1746
1012,1752
1013,1755
1014,1723
1015,1706
1016,1709
1017,1710
1018,1726
1019,1723
1020,1686
1021,1692
1022,1694
1023,1704
1024,1819
1025,1788
1026,1826
1027,1820
1028,1827
1029,1828
1030,1832
1031,1834
1032,1850
1033,1874
1034,1891
1035,1901
1036,1879
1037,1897
1038,1895
1039,1913
1040,1876
1041,1878
1042,1874
1043,1914
1044,1914
1045,1862
1046,1881
1047,1903
1048,1838
1049,1860
1050,1866
1051,1870
1052,1879
1053,1905
1054,1951
1055,1904
1056,1979
1057,2041
1058,2051
1059,2044
1060,2097
1061,2131
1062,2154
1063,2171
1064,2190
1065,2209
1066,2216
1067,2206
1068,2280
1069,2293
1070,2339
1071,2385
1072,2377
1073,2410
1074,2345
1075,2355
1076,2291
1077,2243
1078,2157
1079,2214
1080,2298
1081,2369
1082,2449
1083,2347
1084,2240
1085,2264
1086,2312
1087,2329
1088,2321
1089,2373
1090,2368
1091,2368
1092,2357
1093,2366
1094,2371
1095,2400
1096,2397
1097,2403
1098,2400
1099,2400
1100,2406
1101,2400
1102,2418
1103,2460
1104,2461
1105,2476
1106,2472
1107,2457
1108,2459
1109,2492
1110,2525
1111,2531
1112,2528
1113,2495
1114,2505
1115,2511
1116,2478
1117,2492
1118,2504
1119,2504
1120,2490
1121,2525
1122,2571
1123,2562
1124,2564
1125,2569
1126,2575
1127,2541
1128,2510
1129,2527
1130,2556
1131,2557
1132,2573
1133,2584
1134,2563
1135,2578
1136,2549
1137,2545
1138,2535
1139,2538
1140,2500
1141,2530
1142,2560
1143,2582
1144,2540
1145,2571
1146,2565
1147,2564
1148,2566
1149,2572
1150,2580
1151,2550
1152,2552
1153,2553
1154,2571
1155,2589
1156,2591
1157,2587
1158,2562
1159,2556
1160,2566
1161,2532
1162,2531
1163,2552
1164,2520
1165,2530
1166,2505
1167,2507
1168,2509
1169,2523
1170,2475
1171,2467
1172,2468
1173,2436
1174,2447
1175,2426
1176,2417
1177,2437
1178,2381
1179,2377
1180,2383
1181,2366
1182,2376
1183,2404
1184,2377
1185,2387
1186,2379
1187,2360
1188,2309
1189,2340
1190,2362
1191,2359
1192,2322
1193,2322
1194,2275
1195,2306
1196,2315
1197,2330
1198,2339
1199,2274
1200,2257
1201,2243
1202,2266
1203,2220
1204,2255
1205,2285
1206,2298
1207,2299
1208,2300
1209,2291
1210,2274
1211,2246
1212,2254
1213,2244
1214,2262
1215,2252
1216,2231
1217,2230
1218,2188
1219,2176
1220,2212
1221,2206
1222,2177
1223,2169
1224,2191
1225,2197
1226,2197
1227,2221
1228,2237
1229,2249
1230,2288
1231,2327
1232,2345
1233,2319
1234,2285
1235,2275
1236,2286
1237,2271
1238,2252
1239,2249
1240,2265
1241,2267
1242,2274
1243,2257
1244,2248
1245,2225
1246,2207
1247,2205
1248,2154
1249,2155
1250,2157
1251,2152
1252,2185
1253,2169
1254,2176
1255,2202
1256,2204
1257,2193
1258,2245
1259,2217
1260,2216
1261,2207
1262,2201
1263,2213
1264,2214
1265,2221
1266,2171
1267,2119
1268,2138
1269,2141
1270,2083
1271,2112
1272,2122
1273,2120
1274,2141
1275,2150
1276,2140
1277,2133
1278,2102
1279,2124
1280,2122
1281,2121
1282,2122
1283,2122
1284,2128
1285,2151
1286,2129
1287,2157
1288,2148
1289,2146
