,0
0,0.0
1,-59.5
2,50.0
3,-102.5
4,-215.0
5,-96.5
6,-199.0
7,-74.5
8,-186.0
9,-75.5
10,-136.0
11,15.5
12,59.0
13,-92.5
14,-234.0
15,-106.5
16,-24.0
17,86.5
18,-37.0
19,68.5
20,142.0
21,177.5
22,94.0
23,57.5
24,-183.0
25,-30.5
26,8.0
27,107.5
28,9.0
29,-87.5
30,-216.0
31,-274.5
32,-188.0
33,-97.5
34,-160.0
35,-132.5
36,-190.0
37,-103.5
38,-75.0
39,9.5
40,-49.0
41,6.5
42,-98.0
43,-203.5
44,-290.0
45,-282.5
46,-353.0
47,-230.5
48,-201.0
49,-100.5
50,-9.0
51,56.5
52,94.0
53,96.5
54,94.0
55,130.5
56,191.0
57,244.5
58,176.0
59,103.5
60,142.0
61,164.5
62,69.0
63,128.5
64,269.0
65,373.5
66,515.0
67,634.5
68,714.0
69,630.5
70,545.0
71,626.5
72,734.0
73,747.5
74,673.0
75,719.5
76,668.0
77,709.5
78,662.0
79,698.5
80,712.0
81,618.5
82,474.0
83,307.5
84,395.0
85,475.5
86,467.0
87,400.5
88,469.0
89,562.5
90,498.0
91,581.5
92,472.0
93,480.5
94,555.0
95,495.5
96,445.0
97,487.5
98,585.0
99,687.5
100,575.0
101,710.5
102,597.0
103,673.5
104,587.0
105,514.5
106,593.0
107,655.5
108,706.0
109,766.5
110,687.0
111,745.5
112,671.0
113,585.5
114,774.0
115,870.5
116,793.0
117,867.5
118,783.0
119,885.5
120,892.0
121,1032.5
122,1171.0
123,1096.5
124,1019.0
125,1098.5
126,1186.0
127,1107.5
128,1122.0
129,1190.5
130,1138.0
131,1187.5
132,1133.0
133,982.5
134,853.0
135,925.5
136,834.0
137,956.5
138,884.0
139,908.5
140,866.0
141,804.5
142,694.0
143,627.5
144,777.0
145,786.5
146,681.0
147,617.5
148,558.0
149,622.5
150,563.0
151,887.5
152,703.0
153,504.5
154,365.0
155,472.5
156,366.0
157,463.5
158,539.0
159,641.5
160,515.0
161,433.5
162,440.0
163,361.5
164,424.0
165,517.5
166,663.0
167,521.5
168,666.0
169,562.5
170,665.0
171,546.5
172,562.0
173,670.5
174,809.0
175,664.5
176,692.0
177,570.5
178,702.0
179,819.5
180,709.0
181,815.5
182,884.0
183,816.5
184,881.0
185,988.5
186,936.0
187,1013.5
188,810.0
189,833.5
190,949.0
191,1034.5
192,948.0
193,939.5
194,900.0
195,871.5
196,887.0
197,1026.5
198,963.0
199,954.5
200,880.0
201,814.5
202,728.0
203,619.5
204,637.0
205,576.5
206,626.0
207,686.5
208,741.0
209,795.5
210,788.0
211,697.5
212,792.0
213,947.5
214,1136.0
215,1002.5
216,820.0
217,722.5
218,888.0
219,821.5
220,925.0
221,1015.5
222,1085.0
223,1005.5
224,947.0
225,970.5
226,1011.0
227,1063.5
228,1107.0
229,1062.5
230,1110.0
231,1157.5
232,1157.0
233,1110.5
234,1164.0
235,1123.5
236,1173.0
237,1222.5
238,1274.0
239,1206.5
240,1108.0
241,1008.5
242,930.0
243,1000.5
244,1079.0
245,1197.5
246,1052.0
247,1160.5
248,1356.0
249,1378.5
250,1598.0
251,1398.5
252,1422.0
253,1271.5
254,1383.0
255,1277.5
256,1174.0
257,1274.5
258,1321.0
259,1331.5
260,1350.0
261,1243.5
262,1296.0
263,1299.5
264,1430.0
265,1575.5
266,1550.0
267,1534.5
268,1358.0
269,1262.5
270,1443.0
271,1493.5
272,1644.0
273,1819.5
274,1950.0
275,2074.5
276,2240.0
277,2387.5
278,2512.0
279,2480.5
280,2492.0
281,2529.5
282,2574.0
283,2783.5
284,2879.0
285,3055.5
286,3172.0
287,3343.5
288,3234.0
289,3313.5
290,3327.0
291,3221.5
292,3297.0
293,3377.5
294,3461.0
295,3367.5
296,3460.0
297,3369.5
298,3453.0
299,3563.5
300,3590.0
301,3627.5
302,3659.0
303,3572.5
304,3667.0
305,3713.5
306,3835.0
307,3669.5
308,3852.0
309,3635.5
310,3672.0
311,3604.5
312,3623.0
313,3415.5
314,3244.0
315,3247.5
316,3139.0
317,3148.5
318,3118.0
319,3045.5
320,3175.0
321,3329.5
322,3323.0
323,3405.5
324,3334.0
325,3425.5
326,3519.0
327,3547.5
328,3500.0
329,3454.5
330,3353.0
331,3276.5
332,3224.0
333,3272.5
334,3321.0
335,3372.5
336,3319.0
337,3330.5
338,3398.0
339,3322.5
340,3217.0
341,3227.5
342,3396.0
343,3499.5
344,3576.0
345,3649.5
346,3681.0
347,3519.5
348,3618.0
349,3717.5
350,3812.0
351,3917.5
352,4024.0
353,3929.5
354,3935.0
355,3878.5
356,3805.0
357,3846.5
358,3891.0
359,3942.5
360,3942.0
361,3885.5
362,3937.0
363,3885.5
364,3828.0
365,3792.5
366,3699.0
367,3716.5
368,3656.0
369,3695.5
370,3705.0
371,3639.5
372,3675.0
373,3670.5
374,3677.0
375,3626.5
376,3584.0
377,3619.5
378,3657.0
379,3694.5
380,3749.0
381,3793.5
382,3739.0
383,3795.5
384,3877.0
385,3786.5
386,3891.0
387,4029.5
388,4090.0
389,4152.5
390,4088.0
391,4166.5
392,4188.0
393,4189.5
394,4235.0
395,4181.5
396,4316.0
397,4511.5
398,4516.0
399,4651.5
400,4730.0
401,4649.5
402,4683.0
403,4780.5
404,4851.0
405,4837.5
406,4848.0
407,4831.5
408,4835.0
409,4836.5
410,4964.0
411,4969.5
412,5056.0
413,5065.5
414,5007.0
415,5121.5
416,5153.0
417,5160.5
418,4961.0
419,4962.5
420,5049.0
421,4935.5
422,4944.0
423,5044.5
424,5138.0
425,5140.5
426,5117.0
427,5162.5
428,5207.0
429,5158.5
430,5110.0
431,5234.5
432,5281.0
433,5333.5
434,5380.0
435,5426.5
436,5483.0
437,5489.5
438,5437.0
439,5457.5
440,5499.0
441,5449.5
442,5491.0
443,5539.5
444,5588.0
445,5545.5
446,5507.0
447,5544.5
448,5582.0
449,5603.5
450,5618.0
451,5666.5
452,5629.0
453,5584.5
454,5526.0
455,5473.5
456,5345.0
457,5408.5
458,5343.0
459,5364.5
460,5426.0
461,5485.5
462,5545.0
463,5619.5
464,5682.0
465,5685.5
466,5751.0
467,5810.5
468,5747.0
469,5738.5
470,5611.0
471,5674.5
472,5674.0
473,5727.5
474,5737.0
475,5683.5
476,5704.0
477,5671.5
478,5647.0
479,5622.5
480,5584.0
481,5553.5
482,5578.0
483,5610.5
484,5566.0
485,5606.5
486,5695.0
487,5649.5
488,5674.0
489,5708.5
490,5700.0
491,5745.5
492,5783.0
493,5744.5
494,5782.0
495,5826.5
496,5851.0
497,5891.5
498,5903.0
499,5982.5
500,5897.0
501,6022.5
502,6148.0
503,6256.5
504,6152.0
505,6232.5
506,6334.0
507,6439.5
508,6348.0
509,6289.5
510,6340.0
511,6373.5
512,6368.0
513,6293.5
514,6231.0
515,6278.5
516,6292.0
517,6314.5
518,6390.0
519,6452.5
520,6494.0
521,6496.5
522,6432.0
523,6366.5
524,6307.0
525,6320.5
526,6382.0
527,6309.5
528,6374.0
529,6475.5
530,6531.0
531,6563.5
532,6655.0
533,6680.5
534,6728.0
535,6779.5
536,6829.0
537,6812.5
538,6747.0
539,6761.5
540,6822.0
541,6809.5
542,6742.0
543,6766.5
544,6817.0
545,6826.5
546,6837.0
547,6874.5
548,6907.0
549,6941.5
550,6941.0
551,6861.5
552,6774.0
553,6813.5
