,0
487,2119.5
488,2053.0
489,2137.5
490,2017.0
491,2097.5
492,2140.0
493,2239.5
494,2048.0
495,2217.5
496,2236.0
497,2359.5
498,2379.0
499,2472.5
500,2367.0
501,2373.5
502,2451.0
503,2502.5
504,2502.0
505,2415.5
506,2376.0
507,2407.5
508,2365.0
509,2363.5
510,2328.0
511,2299.5
512,2171.0
513,2223.5
514,2292.0
515,2365.5
516,2356.0
517,2354.5
518,2290.0
519,2294.5
520,2299.0
521,2324.5
522,2250.0
523,2286.5
524,2251.0
525,2210.5
526,2098.0
527,2139.5
528,2151.0
529,2157.5
530,2218.0
531,2161.5
532,2167.0
533,2102.5
534,2095.0
535,2072.5
536,2172.0
537,2118.5
538,2030.0
539,2161.5
540,2055.0
541,2003.5
542,2035.0
543,2183.5
544,2204.0
545,2215.5
546,2249.0
547,2307.5
548,2299.0
549,2263.5
550,2321.0
551,2424.5
552,2430.0
553,2341.5
554,2420.0
555,2409.5
556,2502.0
557,2571.5
558,2492.0
559,2433.5
560,2423.0
561,2463.5
562,2419.0
563,2461.5
564,2510.0
565,2465.5
566,2510.0
567,2485.5
568,2471.0
569,2467.5
570,2437.0
571,2442.5
572,2416.0
573,2388.5
574,2356.0
575,2313.5
576,2310.0
577,2312.5
578,2372.0
579,2419.5
580,2408.0
581,2380.5
582,2353.0
583,2298.5
584,2243.0
585,2175.5
586,2196.0
587,2231.5
588,2120.0
589,2045.5
590,2040.0
591,2027.5
592,2065.0
593,1984.5
594,1911.0
595,1928.5
596,1932.0
597,1858.5
598,1937.0
599,1823.5
600,1792.0
601,1653.5
602,1695.0
603,1746.5
604,1792.0
605,1543.5
606,1447.0
607,1596.5
608,1612.0
609,1647.5
610,1712.0
611,1653.5
612,1565.0
613,1642.5
614,1656.0
615,1728.5
616,1730.0
617,1577.5
618,1724.0
619,1700.5
620,1727.0
621,1736.5
622,1838.0
623,1834.5
624,1934.0
625,1980.5
626,1876.0
627,1977.5
628,2024.0
629,2034.5
630,2018.0
631,1875.5
632,1833.0
633,1963.5
634,1953.0
635,1998.5
636,1839.0
637,1879.5
638,1951.0
639,2014.5
640,2050.0
641,2177.5
642,2088.0
643,2138.5
644,2203.0
645,2069.5
646,1933.0
647,1877.5
648,2038.0
649,2185.5
650,2158.0
651,2200.5
652,2196.0
653,2234.5
654,2252.0
655,2214.5
656,2304.0
657,2186.5
658,2009.0
659,2019.5
660,2042.0
661,2133.5
662,2205.0
663,2224.5
664,2227.0
665,2323.5
666,2465.0
667,2432.5
668,2546.0
669,2566.5
670,2647.0
671,2727.5
672,2758.0
673,2748.5
674,2755.0
675,2666.5
676,2742.0
677,2816.5
678,2897.0
679,2980.5
680,2892.0
681,2988.5
682,3055.0
683,3061.5
684,3134.0
685,3191.5
686,3224.0
687,3234.5
688,3247.0
689,3155.5
690,3020.0
691,2931.5
692,2912.0
693,2903.5
694,2935.0
695,2928.5
696,3007.0
697,3026.5
698,3049.0
699,3137.5
700,3226.0
701,3117.5
702,3123.0
703,3074.5
704,3081.0
705,3058.5
706,2933.0
707,2767.5
708,2817.0
709,2774.5
710,2607.0
711,2390.5
712,2439.0
713,2475.5
714,2408.0
715,2387.5
716,2141.0
717,2060.5
718,2164.0
719,2097.5
720,2101.0
721,2105.5
722,2099.0
723,1989.5
724,1872.0
725,1842.5
726,1889.0
727,1843.5
728,1861.0
729,2002.5
730,2101.0
731,2190.5
732,2206.0
733,2254.5
734,2273.0
735,2182.5
736,2171.0
737,2152.5
738,2074.0
739,2165.5
740,2259.0
741,2252.5
742,2298.0
743,2407.5
744,2487.0
745,2467.5
746,2520.0
747,2469.5
748,2475.0
749,2545.5
750,2549.0
751,2568.5
752,2531.0
753,2430.5
754,2465.0
755,2477.5
756,2380.0
757,2402.5
758,2475.0
759,2417.5
760,2441.0
761,2491.5
762,2542.0
763,2490.5
764,2427.0
765,2447.5
766,2525.0
767,2458.5
768,2477.0
769,2477.5
770,2455.0
771,2450.5
772,2561.0
773,2568.5
774,2579.0
775,2629.5
776,2633.0
777,2644.5
778,2663.0
779,2782.5
780,2839.0
781,2789.5
782,2671.0
783,2709.5
784,2604.0
785,2588.5
786,2649.0
787,2669.5
788,2677.0
789,2690.5
790,2485.0
791,2391.5
792,2498.0
793,2388.5
794,2397.0
795,2357.5
796,2347.0
797,2374.5
798,2422.0
799,2462.5
800,2357.0
801,2365.5
802,2364.0
803,2361.5
804,2401.0
805,2286.5
806,2269.0
807,2277.5
808,2337.0
809,2380.5
810,2398.0
811,2442.5
812,2463.0
813,2482.5
814,2486.0
815,2538.5
816,2600.0
817,2526.5
818,2544.0
819,2551.5
820,2590.0
821,2593.5
822,2626.0
823,2639.5
824,2664.0
825,2603.5
826,2660.0
827,2690.5
828,2745.0
829,2800.5
830,2862.0
831,2920.5
832,2973.0
833,2987.5
834,3041.0
835,3057.5
836,3093.0
837,3151.5
838,3150.0
839,3111.5
840,3112.0
841,3133.5
842,3189.0
843,3213.5
844,3224.0
845,3155.5
846,3206.0
847,3256.5
848,3302.0
849,3241.5
850,3191.0
851,3208.5
852,3152.0
853,3142.5
854,3096.0
855,3128.5
856,3075.0
857,3078.5
858,3036.0
859,3073.5
860,3032.0
861,3086.5
862,3040.0
863,3037.5
864,3075.0
865,3020.5
866,3022.0
867,2954.5
868,3047.0
869,3065.5
870,2975.0
871,2998.5
872,3004.0
873,3038.5
874,3035.0
875,2933.5
876,3014.0
877,2987.5
878,3054.0
879,3064.5
880,3067.0
881,3121.5
882,3171.0
883,3095.5
884,3224.0
885,3219.5
886,3258.0
887,3287.5
888,3294.0
889,3193.5
890,3249.0
891,3253.5
892,3221.0
893,3378.5
894,3440.0
895,3307.5
896,3334.0
897,3341.5
898,3369.0
899,3357.5
900,3366.0
901,3321.5
902,3247.0
903,3257.5
904,3248.0
905,3233.5
906,3223.0
907,3190.5
908,3182.0
909,3197.5
910,3240.0
911,3243.5
912,3245.0
913,3227.5
914,3230.0
915,3377.5
916,3307.0
917,3298.5
918,3357.0
919,3393.5
920,3381.0
921,3322.5
922,3355.0
923,3263.5
924,3254.0
925,3237.5
926,3197.0
927,3196.5
928,3200.0
929,3233.5
930,3461.0
931,3688.5
932,3605.0
933,3626.5
934,3607.0
935,3593.5
936,3617.0
937,3565.5
938,3566.0
939,3574.5
940,3402.0
941,3415.5
942,3297.0
943,3299.5
944,3362.0
945,3344.5
946,3418.0
947,3461.5
948,3427.0
949,3429.5
950,3403.0
951,3452.5
952,3498.0
953,3470.5
954,3397.0
955,3408.5
956,3424.0
957,3419.5
958,3396.0
959,3347.5
960,3361.0
961,3361.5
962,3474.0
963,3527.5
964,3536.0
965,3524.5
966,3470.0
967,3414.5
968,3459.0
969,3465.5
970,3414.0
971,3393.5
972,3447.0
973,3458.5
974,3507.0
975,3553.5
976,3550.0
977,3570.5
978,3585.0
979,3586.5
980,3628.0
981,3636.5
982,3629.0
983,3630.5
984,3637.0
985,3657.5
986,3656.0
987,3609.5
988,3617.0
989,3631.5
990,3634.0
991,3640.5
992,3682.0
993,3622.5
994,3665.0
995,3713.5
996,3671.0
997,3629.5
998,3612.0
999,3625.5
1000,3622.0
1001,3670.5
1002,3623.0
1003,3619.5
1004,3627.0
1005,3661.5
1006,3673.0
1007,3674.5
1008,3677.0
1009,3698.5
1010,3709.0
1011,3715.5
1012,3724.0
1013,3677.5
1014,3681.0
1015,3694.5
1016,3636.0
1017,3592.5
1018,3564.0
1019,3435.5
1020,3365.0
1021,3372.5
1022,3407.0
1023,3372.5
1024,3386.0
1025,3372.5
1026,3407.0
1027,3447.5
1028,3384.0
1029,3384.5
1030,3390.0
1031,3327.5
1032,3339.0
1033,3355.5
1034,3335.0
1035,3452.5
1036,3517.0
1037,3529.5
1038,3588.0
1039,3586.5
1040,3548.0
1041,3544.5
1042,3539.0
1043,3540.5
1044,3582.0
1045,3629.5
1046,3648.0
1047,3662.5
1048,3716.0
1049,3726.5
1050,3749.0
1051,3708.5
1052,3678.0
1053,3697.5
1054,3663.0
1055,3695.5
1056,3725.0
1057,3732.5
1058,3768.0
1059,3763.5
1060,3778.0
1061,3747.5
1062,3775.0
1063,3734.5
1064,3753.0
1065,3780.5
1066,3685.0
1067,3639.5
1068,3651.0
1069,3667.5
1070,3681.0
1071,3679.5
1072,3685.0
1073,3631.5
1074,3587.0
1075,3629.5
1076,3645.0
1077,3667.5
1078,3673.0
1079,3711.5
1080,3661.0
1081,3686.5
1082,3689.0
1083,3716.5
1084,3721.0
1085,3800.5
1086,3715.0
1087,3740.5
1088,3753.0
1089,3746.5
1090,3853.0
1091,3742.5
1092,3751.0
1093,3725.5
1094,3849.0
1095,3882.5
1096,3922.0
1097,3959.5
1098,3960.0
1099,4032.5
1100,4079.0
1101,4095.5
1102,4037.0
1103,4087.5
1104,4076.0
1105,4082.5
1106,4149.0
1107,4086.5
1108,4134.0
1109,4147.5
1110,4069.0
1111,4131.5
1112,4144.0
1113,4184.5
1114,4187.0
1115,4122.5
1116,4062.0
1117,3990.5
1118,3989.0
1119,4050.5
1120,3991.0
1121,3938.5
1122,3862.0
1123,3930.5
1124,3999.0
1125,4063.5
1126,4056.0
1127,4064.5
1128,4084.0
1129,4091.5
1130,4063.0
1131,3960.5
1132,3983.0
1133,4006.5
1134,4009.0
1135,4018.5
1136,4058.0
1137,4113.5
1138,4126.0
1139,4151.5
1140,4199.0
1141,4234.5
1142,4248.0
1143,4271.5
1144,4315.0
1145,4333.5
1146,4336.0
1147,4283.5
1148,4320.0
1149,4279.5
1150,4291.0
1151,4273.5
1152,4208.0
1153,4209.5
1154,4207.0
1155,4204.5
1156,4223.0
1157,4204.5
1158,4223.0
1159,4202.5
1160,4188.0
1161,4256.5
1162,4262.0
1163,4312.5
1164,4311.0
1165,4271.5
1166,4359.0
1167,4368.5
1168,4403.0
1169,4361.5
1170,4362.0
1171,4282.5
1172,4221.0
1173,4285.5
1174,4280.0
1175,4219.5
1176,4252.0
1177,4296.5
1178,4250.0
1179,4262.5
1180,4253.0
1181,4293.5
1182,4316.0
1183,4266.5
1184,4315.0
1185,4363.5
1186,4312.0
1187,4376.5
1188,4352.0
1189,4301.5
1190,4329.0
1191,4275.5
1192,4275.0
1193,4285.5
1194,4340.0
1195,4270.5
1196,4206.0
1197,4244.5
1198,4242.0
1199,4237.5
1200,4191.0
1201,4149.5
1202,4187.0
1203,4182.5
1204,4188.0
1205,4128.5
1206,4122.0
1207,4066.5
1208,4105.0
1209,4103.5
1210,4095.0
1211,4065.5
1212,4083.0
1213,4080.5
1214,4133.0
1215,4165.5
1216,4162.0
1217,4119.5
1218,4061.0
1219,4100.5
1220,4099.0
1221,4089.5
1222,4108.0
1223,4112.5
1224,4125.0
