,a_trade-return-bool,b_trade-return,c_rate-return-1,d_rate-return-2,e_rate-return-3,f_rate-return-return-1,g_rate-return-return-2,h_rate-return-return-3,i_volume-return-1,j_volume-return-2,k_volume-return-3,l_volume-return-std-1,m_volume-return-std-2,o_volume-return-std-3
0,1,58,0.0007423153490571027,-0.0004783030639124355,0.000170954499632717,0.001220618412969538,0.0005713608494243857,-0.001220618412969538,-0.0006492575635451525,-0.0005713608494243857,0.0006492575635451525,223.62000000000018,-655.5099999999999,-71.03999999999998
1,0,-3,0.00010142073546946814,0.00010341689418389903,-0.0034978467233743376,-1.996158714430893e-06,0.0035992674588438056,1.996158714430893e-06,0.0036012636175582367,-0.0035992674588438056,-0.0036012636175582367,28.669999999999845,-32.129999999999995,110.35000000000004
2,0,-3,5.093162429434148e-05,-0.0013340337586573866,-0.002146312831665616,0.001384965382951728,0.002197244455959958,-0.001384965382951728,0.0008122790730082296,-0.002197244455959958,-0.0008122790730082296,1239.2200000000003,456.07000000000016,679.8000000000004
3,1,10,0.0005438846964443317,-0.0002632727575050382,-0.0010354981008571526,0.0008071574539493698,0.0015793827973014842,-0.0008071574539493698,0.0007722253433521144,-0.0015793827973014842,-0.0007722253433521144,1690.48,1091.83,551.7800000000001
4,0,-31,0.0007650393995291803,-0.00013865971519292972,-0.0007230943177934454,0.00090369911472211,0.0014881337173226258,-0.00090369911472211,0.0005844346026005157,-0.0014881337173226258,-0.0005844346026005157,644.39,-71.60999999999967,-198.89999999999986
5,0,-52,0.0013112967362335956,0.0004018652088659952,-0.002325289228510973,0.0009094315273676004,0.0036365859647445684,-0.0009094315273676004,0.0027271544373769683,-0.0036365859647445684,-0.0027271544373769683,-514.4199999999992,60.70000000000027,268.66999999999985
6,1,28,0.001083616230539309,-0.00038652411289257665,7.07840103345363e-05,0.0014701403434318856,0.0010128322202047726,-0.0014701403434318856,-0.00045730812322711294,-0.0010128322202047726,0.00045730812322711294,4069.27,2692.09,413.43000000000075
7,1,25,0.0002970935759879214,-0.0016060515466068054,9.349851404149263e-05,0.0019031451225947269,0.00020359506194642874,-0.0019031451225947269,-0.001699550060648298,-0.00020359506194642874,0.001699550060648298,336.54999999999995,228.85999999999945,130.59999999999997
8,0,-43,0.0013881629120570797,-0.001000342774796988,-0.0018448612259309015,0.0023885056868540675,0.0032330241379879814,-0.0023885056868540675,0.0008445184511339135,-0.0032330241379879814,-0.0008445184511339135,4811.6799999999985,2511.19,616.8100000000002
9,1,37,0.0008807935693516883,-0.001772577594058657,0.00010425816984764341,0.0026533711634103454,0.0007765353995040449,-0.0026533711634103454,-0.0018768357639063005,-0.0007765353995040449,0.0018768357639063005,2346.3199999999997,1683.0199999999988,1888.4299999999996
10,1,4,0.0008956946370283003,0.0009137789363329933,-0.0027555741585878635,-1.8084299304693035e-05,0.0036512687956161637,1.8084299304693035e-05,0.003669353094920857,-0.0036512687956161637,-0.003669353094920857,1831.0200000000011,357.0200000000002,1826.900000000001
11,1,14,0.0011864129920819285,-0.0008493350414405358,0.0007250341689241049,0.0020357480335224643,0.0004613788231578236,-0.0020357480335224643,-0.0015743692103646406,-0.0004613788231578236,0.0015743692103646406,1630.74,1033.1800000000007,164.2
12,0,-34,0.0017974210914774595,-0.00022055423143967304,-4.456725198317945e-05,0.0020179753229171327,0.001841988343460639,-0.0020179753229171327,-0.0001759869794564936,-0.001841988343460639,0.0001759869794564936,303.10999999999876,269.9000000000008,-1443.8799999999999
13,1,13,0.0006967202539158064,1.4129083305010864e-05,-0.002316603184992204,0.0006825911706107955,0.0030133234389080102,-0.0006825911706107955,0.0023307322682972146,-0.0030133234389080102,-0.0023307322682972146,-3940.52,-2311.0499999999993,-719.5300000000008
14,1,17,0.0005784938437893492,-0.0027194066749073854,0.0002522304866350718,0.0032979005186967343,0.0003262633571542774,-0.0032979005186967343,-0.002971637161542457,-0.0003262633571542774,0.002971637161542457,358.6900000000005,1600.18,-782.29
15,1,15,0.001501825494782324,0.001211391328988453,-0.0022194218643595857,0.00029043416579387104,0.00372124735914191,-0.00029043416579387104,0.0034308131933480385,-0.00372124735914191,-0.0034308131933480385,-76.73000000000047,-380.3299999999999,166.63000000000022
16,1,37,0.0016723864606378775,-0.0006626624933029939,0.0004028337586102995,0.0023350489539408713,0.0012695527020275782,-0.0023350489539408713,-0.0010654962519132934,-0.0012695527020275782,0.0010654962519132934,-1648.3200000000006,-421.85999999999876,88.74000000000001
17,1,19,0.0017364171632056088,0.00018368716662540318,-0.0007845347720304591,0.0015527299965802056,0.002520951935236068,-0.0015527299965802056,0.0009682219386558623,-0.002520951935236068,-0.0009682219386558623,868.9899999999999,857.77,107.09999999999995
18,1,14,0.0006433928838983416,-0.0007531339522637534,-0.00362921899574016,0.001396526836162095,0.004272611879638502,-0.001396526836162095,0.0028760850434764065,-0.004272611879638502,-0.0028760850434764065,981.7799999999997,689.5699999999999,193.2499999999999
19,1,3,0.0030495416770695673,0.0018913196894846814,-0.0026962088002789424,0.001158221987584886,0.00574575047734851,-0.001158221987584886,0.004587528489763624,-0.00574575047734851,-0.004587528489763624,-1826.499999999999,-1659.5600000000018,-162.68999999999983
20,0,-12,0.001736511030388909,0.0006393592355792639,-0.0014633145670456605,0.0010971517948096452,0.0031998255974345696,-0.0010971517948096452,0.002102673802624924,-0.0031998255974345696,-0.002102673802624924,1281.3499999999995,1209.5600000000013,274.89999999999986
