Gmt time,Open,High,Low,Close,Volume
02.01.2006 00:00:00.000,1.61360,1.61360,1.61360,1.61360,0
02.01.2006 04:00:00.000,1.61360,1.61360,1.61360,1.61360,0
02.01.2006 08:00:00.000,1.61360,1.61360,1.61360,1.61360,0
02.01.2006 12:00:00.000,1.61360,1.61360,1.61360,1.61360,0
02.01.2006 16:00:00.000,1.61360,1.61360,1.61360,1.61360,0
02.01.2006 20:00:00.000,1.61360,1.61415,1.60902,1.61415,5154.3999
03.01.2006 00:00:00.000,1.61409,1.61582,1.61029,1.61138,15835.099999999999
03.01.2006 04:00:00.000,1.61137,1.61413,1.60926,1.61317,15902.5
03.01.2006 08:00:00.000,1.61335,1.61586,1.60981,1.61298,16011.9002
03.01.2006 12:00:00.000,1.61293,1.62596,1.61239,1.62498,15815.000199999999
03.01.2006 16:00:00.000,1.62529,1.62537,1.61821,1.62243,42211.100099999996
03.01.2006 20:00:00.000,1.62217,1.62379,1.62016,1.62144,15838.3999
04.01.2006 00:00:00.000,1.62140,1.62682,1.62097,1.62398,15621.8999
04.01.2006 04:00:00.000,1.62381,1.62691,1.62263,1.62314,15699.5002
04.01.2006 08:00:00.000,1.62312,1.62703,1.62141,1.62305,15977.6001
04.01.2006 12:00:00.000,1.62308,1.62624,1.62144,1.62171,15914.7
04.01.2006 16:00:00.000,1.62186,1.62310,1.61747,1.62110,41879.100099999996
04.01.2006 20:00:00.000,1.62084,1.62366,1.61861,1.62135,15630.7998
05.01.2006 00:00:00.000,1.62130,1.62221,1.61744,1.61882,15372.1001
05.01.2006 04:00:00.000,1.61871,1.61982,1.61721,1.61865,15623.7002
05.01.2006 08:00:00.000,1.61859,1.62266,1.61739,1.62000,15687.0999
05.01.2006 12:00:00.000,1.61994,1.62084,1.61707,1.61818,15985.8
05.01.2006 16:00:00.000,1.61828,1.61922,1.61534,1.61781,42540
05.01.2006 20:00:00.000,1.61780,1.61975,1.61643,1.61909,15702.3
06.01.2006 00:00:00.000,1.61898,1.62111,1.61739,1.61856,15286.500199999999
06.01.2006 04:00:00.000,1.61857,1.62179,1.61701,1.62145,15591.8
06.01.2006 08:00:00.000,1.62160,1.62203,1.61776,1.61837,16049.500100000001
06.01.2006 12:00:00.000,1.61841,1.62417,1.61521,1.61655,16148.0999
06.01.2006 16:00:00.000,1.61669,1.61669,1.60935,1.61031,41824.4004
06.01.2006 20:00:00.000,1.61024,1.61151,1.60910,1.61030,9723.1001
07.01.2006 00:00:00.000,1.61030,1.61030,1.61030,1.61030,0
07.01.2006 04:00:00.000,1.61030,1.61030,1.61030,1.61030,0
07.01.2006 08:00:00.000,1.61030,1.61030,1.61030,1.61030,0
07.01.2006 12:00:00.000,1.61030,1.61030,1.61030,1.61030,0
07.01.2006 16:00:00.000,1.61030,1.61030,1.61030,1.61030,0
