,a_trade-return-bool,b_trade-return,c_rate-return-std-1,d_rate-return-std-2,e_rate-return-std-3,f_rate-return-return-1,g_rate-return-return-2,h_rate-return-return-3,i_volume-return-1,j_volume-return-2,k_volume-return-3,l_volume-return-std-1,m_volume-return-std-2,o_volume-return-std-3
0,1,6,0.00019498699273757175,3.6753422352536305e-05,5.685060861623399e-05,0.00033073718806195273,0.6924700362957739,7.946561649091655,0.044552917238821724,-0.4123458741700917,0.41734183761420446,0.3068346564359404,0.6138593036694008,2.4748384858122057
1,0,-1,0.0007878628876053224,8.26190755906675e-06,0.0018619224045376835,4.154156114274085e-05,-0.07478138411922212,-0.24970241213494576,-0.09364517098082335,-0.2911501322540553,-0.5546133510538406,0.1706549616581829,0.4846668061750538,0.2024213252213535
2,0,1,0.0005652271045392335,4.991961477332078e-05,0.0005897749962098294,9.003162240014856e-05,0.15917238909449213,0.9776838776067708,-0.17558019662568208,0.2203710165154686,-0.6892131729441925,0.4514386975265684,0.47589505520864506,1.5304543176771852
3,0,-7,0.0003799980100161649,1.850075480505505e-05,0.0003153724770893889,9.737935270259939e-05,0.11532768187573965,0.9564462335580648,-0.028878996756970136,0.9486201888162673,0.029104656745079352,0.14023445504706678,0.8628487326458324,0.5659511614795173
4,0,-18,0.000371369620530489,5.7194163274802026e-05,0.00020605026045197774,0.0017652216832178698,0.8904360114912416,12.236113450934992,-0.04678641410842593,1.2351591187270503,1.1551549743515643,0.24621451003293696,1.060324709435014,0.42084930202032866
5,0,2,0.0006661753090045344,4.386013034269633e-05,0.0010935039536933608,0.0004076682174696469,0.2827495723706602,47.79591278553118,-0.11781050413712885,0.5090505321377696,0.1420286141362374,0.22068870371840096,0.549158842209867,0.4429741179564822
6,1,10,0.0006852973620720543,1.5262072668502726e-05,0.0006907622624084031,0.001960060101835727,0.9323667810503332,17.119084854425576,-0.11745701069877472,-0.12948482060717562,0.622463646999833,0.170745245652184,0.5701002024239409,0.3007185315674706
7,0,-35,0.0007488281344562661,1.0198331883989728e-05,0.0010318067040581483,0.00020753469496917403,1.6848734185219962,1.6680267259724093,0.24671602897758704,-0.18499465902063306,-0.17516234535715988,0.15186612812514524,0.2888512007763755,0.3135440857596346
8,0,-9,0.0005485364360552347,1.0966164424568121e-05,0.0006674379795781161,0.0005727998430076008,1.731091374816947,-1.342666678884896,0.05343956645402093,0.421662828555546,-0.6596464426014841,0.1629824702803395,0.3090473432969289,0.3241223501082168
9,0,1,0.00036572144278041493,1.279083999836912e-05,0.00027034486912378786,0.0002903217205766544,0.717402683140471,11.869619821732588,-0.1796691492409054,0.3214373013933019,0.16526610644257703,0.6163134135740345,0.8198503429962147,0.7117889322223542
10,0,2,0.00023763620706185906,7.211439737839601e-06,9.5521126024755e-05,0.0006149344354174934,0.7793948834160239,11.933530016259457,-0.09606714435230662,0.038622386223862236,0.38461538461538464,0.6716033561839284,0.3995217613659188,0.2588462927097876
11,0,-12,0.0005763757133502796,1.3166257537783799e-05,0.0002335497068796749,0.0011453994450795343,1.2217514061554855,-8.31507009792489,0.008340959905469042,0.04532004360691453,0.16777169213029705,0.3066737443556344,0.2980880993695046,0.141178275231359
12,1,8,0.000847981121208125,3.723870692000299e-05,0.0017876070024417851,0.0003239238465800313,0.07437876229757606,-6.851776203280701,0.11714383956054009,0.6002234122942474,-0.035337658573562206,0.1523725077889563,0.33572214802308065,0.23081298515810894
13,0,1,0.0005192074510537734,1.244712244058685e-05,0.0005151624696611865,0.0005559075807568258,1.3646150944680144,-15.923511414509687,0.06658626202563589,0.31172905832294645,-0.3867560541797782,0.37841206867094423,7.712739235612532,1.277545240205665
14,1,19,0.0009977309972376265,3.087711249779387e-05,0.0007139226572758572,0.0017295685808305236,1.3437369330903528,-2.7085105036155026,-0.09894733461269783,-0.01778271742150599,-0.02363565159298761,0.21303782619256897,0.5251275935030747,2.9195662421905277
15,0,-7,0.0009405766470078167,2.153380339967991e-05,0.001503591029435333,0.0001799126766483947,0.10966583751453972,-1.4137763927451703,-0.26558669694196857,-0.26370538148567574,-0.158072659422676,0.2386638691504651,0.7732644714156365,0.35285060202464363
16,1,8,0.0004991611785622052,2.2969419155694823e-05,0.001913013215639139,0.0003318314515667925,-0.42194546154855966,1.8088808190319343,-0.2840991999597462,-0.5558609682567831,-0.2715509081392888,0.5191142698281568,1.2891510540045068,0.41373917803281574
17,0,1,0.0003472977327046267,7.13590307388923e-06,0.0005375170595618602,0.00013827199439186302,0.1917767011299513,0.27097597177275506,1.043819148009409,-0.5000703482237074,0.033578195657956715,0.4285972431238668,0.4822741507496295,0.6693055791380682
18,1,4,0.0024732008206245102,2.0713219217735717e-05,4.22331734561847e-05,0.0006326145404082894,0.9118776338214146,20.923431975929812,0.06112757574700996,0.0899555555555556,-0.1089831483037729,0.6784021644870027,0.17404153867023783,0.5413366704974633
19,1,3,0.0009027741636975855,2.071322967079578e-05,6.448577313660643e-05,0.00048663995262118666,0.4967290795732886,1.3881111810594156,-0.0746019401579959,-0.26753834548654754,0.6283724978241948,0.23530023937800507,0.2221170148085356,0.5280942940403335
20,1,9,0.000584127286447338,1.2315751996845824e-05,0.0002524960671488738,0.00048781896664522393,-1.5672899655872279,-0.8314485578924269,0.20581730167341317,0.05717569314753633,-0.33957053754225586,0.5303308366503825,0.22929441621966032,0.46283961318997485
21,1,21,0.0010895319264832963,0.0054246642163883795,0.0004307195526149722,0.001115516200653857,-0.20141387635238817,-4.024828757253162,0.2611912333650672,-0.10347905475353973,0.6248451672194021,0.1984627445103768,0.3568159889079544,0.7125025708123066
22,1,24,0.0007950351382654361,0.002528363644328741,0.000686311986771032,0.001992752462337566,1.0984909998476815,0.6155627086617358,1.1239809422975124,0.354940363242071,-0.07859538449253363,0.6549330888531099,0.9785726850024772,1.1026036886948447
23,0,2,0.0008403517111182117,0.0018693139064037256,0.0012171483147516773,0.0020110874177349364,1.516881902378713,13.479482187696293,0.184419178033595,-0.028986442866365456,-0.7972693680716477,0.3944345435114617,0.3074955706757943,3.1549650480460807
24,1,144,0.00043231909259197794,0.002783768310642252,0.0011070798711158884,0.0015058955995575617,-1.2982417092949206,1.0703936906763964,-0.05240859799947542,0.043379186547244014,1.8800008608259617,0.26561744821430944,0.14373071512762764,0.9934057479773272
25,0,-14,0.0006221530212026467,0.0023651509731040066,0.00012076658901599741,0.0001922093776654699,-8.540830226187365,0.6414085135676336,1.933659383134811,1.4891292590589509,-0.2712195121951219,1.3141593557682953,0.7204817521660198,0.6161238890910048
26,1,6,0.0009974278003549064,0.0013912674970107915,0.00024548984947883785,0.0031456025631687785,1.3022648225835407,10.538186467469513,0.009232597936242806,-0.16397299509001637,0.9504,0.23789901931464266,0.20340330042041335,0.8737868308761367
27,1,18,0.00032698496554644027,0.0011331837581493695,0.0008465835555731727,0.0004239142262939574,-1.0615999350126704,-1.428508993295351,-0.42491641226922516,-0.49060283839619495,0.32141078838174314,0.34029196072442724,0.5781174119461131,0.5140070802059616
28,0,-1,0.00035103718215212737,0.0010358098970858385,0.0004245070873343124,0.0005939625967683706,-0.701634264382289,-0.9807817695929676,-0.03760822960463996,-0.16533799533799534,-0.697952337689566,1.7000395124428325,0.7462640032240354,0.6670269649969219
