15	0.42	862	1.01	0.00	7.19	0.07%	0.00000000	h1_value=75 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
16	-0.97	855	0.99	-0.00	9.21	0.09%	0.00000000	h1_value=80 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
17	1.68	839	1.02	0.00	7.47	0.07%	0.00000000	h1_value=85 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
18	1.62	842	1.02	0.00	6.18	0.06%	0.00000000	h1_value=90 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
19	0.40	830	1.01	0.00	7.26	0.07%	0.00000000	h1_value=95 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
20	-0.33	825	1.00	-0.00	7.16	0.07%	0.00000000	h1_value=100 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
21	-0.04	823	1.00	-0.00	7.31	0.07%	0.00000000	h1_value=105 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
22	-1.31	829	0.98	-0.00	7.80	0.08%	0.00000000	h1_value=110 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
23	-1.66	830	0.98	-0.00	7.93	0.08%	0.00000000	h1_value=115 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
24	0.47	829	1.01	0.00	6.83	0.07%	0.00000000	h1_value=120 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
25	1.26	822	1.02	0.00	6.10	0.06%	0.00000000	h1_value=125 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
26	3.83	823	1.05	0.00	5.65	0.06%	0.00000000	h1_value=130 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
