13	46.80	818	1.25	0.06	16.81	0.17%	0.00000000	k1_value=15 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
14	52.88	875	1.27	0.06	15.52	0.15%	0.00000000	k1_value=20 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
15	31.33	930	1.15	0.03	14.90	0.15%	0.00000000	k1_value=25 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
16	30.00	929	1.14	0.03	15.72	0.16%	0.00000000	k1_value=30 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
17	31.42	902	1.15	0.03	15.45	0.15%	0.00000000	k1_value=35 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
18	31.76	878	1.15	0.04	12.78	0.13%	0.00000000	k1_value=40 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
19	30.36	845	1.15	0.04	13.88	0.14%	0.00000000	k1_value=45 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
20	32.71	806	1.17	0.04	16.41	0.16%	0.00000000	k1_value=50 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
21	33.54	778	1.18	0.04	16.29	0.16%	0.00000000	k1_value=55 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
22	26.50	760	1.14	0.03	18.69	0.19%	0.00000000	k1_value=60 	k1_ma=15	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
